edades,generos 
25,Femenino
treinta,nan
-40,Masculino
50,Femenino
-20,Masculino
35,F
diecisiete,Femenino
14,Masculino
-45,Masculino
trece,F
28,Masculino
53,Femenino
-30,Masculino
veinticuatro,Femenino
49,nan
-55,Femenino
15,Masculino
42,F
-18,Masculino
veintinueve,Femenino
sesenta,Masculino
-22,Femenino
35,MAsculino
25,Femenino
-60,Masculino
diecinueve,Femenino
45,Masculino
-33,Femenino
31,MAsculino
veintiuno,nan
-28,Masculino
58,Femenino
34,Masculino
-50,Femenino
doce,Masculino
98,Femenino
65,Masculino
70,Femenino
veintisiete,Masculino
diecisiete,Masculino
-65,Femenino
cincuenta y uno,Masculino
12,Femenino
-16,Masculino
30,Femenino
28,Masculino
-21,Femenino
49,Masculino
