Estatura (cm),Peso (kg)
154.6707895,82.74618893
152.8802984,74.54977919
170.4613506,69.08410364
160.4162552,72.01304199
169.1918839,60.3131549
162.9614096,66.85013031
162.292157,70.6820206
165.1915466,70.79537589
177.0358555,57.75507004
179.2914515,72.62098543
173.7117255,72.23357194
160.1017745,66.98359035
176.4363128,70.03339999
176.8889667,58.13206757
172.746472,58.16163508
163.9637956,71.0774981
177.0885958,64.65821447
174.2281857,69.90755584
138.8314341,76.71592538
176.4445203,68.60856056
150.8625733,47.51465556
176.6356158,68.7947709
168.459276,66.15164782
181.9361168,68.12244517
169.0183879,77.1978465
161.1338574,57.37175851
168.5264634,71.95165299
180.5980629,82.5624313
170.2624662,64.99245508
168.8566484,73.77862309
177.4355352,77.73044623
172.1035937,71.68185151
169.9407259,64.51922416
183.6606007,64.32383191
185.5511403,75.95040123
176.1332623,74.73719273
167.1404085,63.70825268
184.9691099,60.58821477
181.8311956,59.75354629
177.1889717,83.29321489
157.8392342,69.45643904
171.406719,88.88182869
162.5632783,74.44436482
168.4098775,73.51617858
172.4005693,72.45017991
171.0015941,77.9931988
165.2482489,62.27149452
182.7295375,87.28010487
153.0386873,69.19758638
177.3018353,64.37279926
151.4251673,72.42048802
173.8259814,78.73871101
161.1309567,61.93956099
178.7830376,74.53495498
170.8645252,64.26844674
172.4770638,65.94981173
159.8172067,66.08414065
163.4542987,76.10833173
172.0721739,61.12741815
175.8356993,71.54092888
199.2909624,67.25265709
172.2285832,63.22231858
179.7603753,60.29181118
154.4306607,60.3768934
156.7010814,56.92963186
166.4450523,77.16933755
158.025723,68.0667747
184.8639925,71.26921544
165.8978131,79.42551492
183.8218189,60.23906274
184.8678247,62.4676346
170.4277972,72.03772429
175.0179975,55.40736358
169.4390053,65.3703319
175.38437,62.60085542
174.8334185,72.63617954
168.7635037,66.59347307
175.0496998,86.06519424
187.2369628,77.50313098
177.1301623,63.17409213
173.2579961,66.9014925
171.2476952,67.2193239
159.8732688,96.45259479
159.7270312,57.91840285
173.2335653,71.6283176
156.3060888,53.32454292
162.336724,69.94450047
182.8151134,85.2791245
189.142297,66.73235655
153.3404392,78.83643537
186.2664956,69.47107819
167.8856171,66.62001027
169.8499491,67.98674913
168.8658837,65.30477884
180.8054413,64.99153382
153.9232342,59.3584447
174.5616361,82.05440583
160.551298,66.85538883
175.7078853,72.35019449
185.4279634,62.98774519
169.9958267,78.93592448
173.7415509,67.81155378
174.0955178,69.27173866
162.004065,55.36818692
185.1163935,73.16780969
187.0646825,84.49204564
177.0178337,63.04737931
170.7328543,66.33416677
165.3810618,60.89340833
163.7350978,71.03329739
187.1083658,70.51219358
184.1441504,75.64064881
169.3633851,74.41178837
154.2006947,63.49987163
141.6798813,71.79958439
159.1657334,67.37359115
168.693796,61.27173618
184.0068903,68.98515302
163.4834379,100.4132817
175.0481546,88.52136507
183.0318096,71.11861278
171.2853632,83.91085766
168.5755213,69.63693309
156.9123649,69.57489328
157.9752469,54.4034257
174.1609963,62.31915547
167.9909247,63.73200589
171.2253132,70.86015225
169.5272228,70.11187628
176.6414405,65.36846119
162.1531259,65.2894944
166.6441936,68.67077492
188.9618223,58.94870679
162.0021386,65.09889152
167.1842457,66.94968104
164.106133,60.00840854
174.4478136,67.35809685
180.2239232,63.32154269
165.0178838,79.88305914
165.6858566,68.04956962
167.2101839,68.48363465
175.2983378,73.42422486
162.606047,74.45574653
166.2404003,56.11006557
146.2780613,66.98572713
156.1825499,62.72774139
168.8755624,68.83863805
178.9786417,65.70933983
172.9507578,71.2565557
159.0123154,62.15632604
155.9974379,65.45786207
171.7468009,65.27072265
153.4719636,78.66073096
180.6592682,72.94402927
170.6389619,72.95110966
153.9267984,67.70945375
160.3404614,66.92225718
162.7568868,74.48802311
162.2680749,76.21947147
155.1006699,70.12117429
161.2533748,79.13318356
163.1559844,80.19324022
162.8871424,56.68241568
181.2795662,73.44303108
171.048278,69.65918457
160.0674278,73.10631051
166.6537839,78.92781222
161.204429,62.6356947
166.9999334,57.03780718
178.7550915,78.84953178
172.5227078,62.01212284
192.8560118,64.51024389
173.7592743,71.63696715
160.8640549,64.51118543
178.0974073,57.26231497
180.7993122,70.27351814
180.9416699,63.74812273
159.0575905,74.78287902
168.5236259,65.95138755
181.3181196,64.49243089
153.1527104,68.31999569
165.0058324,78.41722781
