Tipo_Prenda,Género,Color,Estilo,Marca,Precio,Talla,Cantidad_Lavados,Edad,Profesión,Género_Incluyente,Calidad
Pantalón,Caballero,Rojo,Formal,Marca C,665.4,38,4,30,Ciencias Sociales y Humanidades,HombreMujer,Buena
Vestido,Dama,Blanco,Casual,Marca C,861.27,45,7,22,Ciencias Sociales y Humanidades,HombreMujer,Buena
Chaqueta,Caballero,Blanco,Casual,Marca D,1495.44,36,14,29,Ciencias Sociales y Humanidades,Mujer,Buena
Pantalón,Caballero,Blanco,Casual,Marca A,899.54,41,0,26,Artes,Hombre,Buena
Falda,Caballero,Blanco,Deportivo,Marca C,1847.8,42,18,27,Ingeniería,Mujer,Buena
Vestido,Dama,Verde,Casual,Marca D,1696.06,40,2,21,Educación,Mujer,Buena
Chaqueta,Dama,Verde,Formal,Marca C,175.99,32,9,29,Educación,Mujer,Buena
Camisa,Dama,Blanco,Formal,Marca D,1511.77,36,12,21,Ingeniería,Hombre,Buena
Chaqueta,Caballero,Azul,Casual,Marca C,1841.79,38,10,20,Ingeniería,HombreMujer,Buena
Camisa,Dama,Blanco,Deportivo,Marca C,254.55,32,19,21,Ciencias de la Salud,Mujer,Buena
Camisa,Dama,Verde,Deportivo,Marca C,1093.92,41,17,22,Ingeniería,Hombre,Buena
Pantalón,Dama,Verde,Casual,Marca B,1028.82,38,18,20,Educación,Mujer,Buena
Falda,Dama,Azul,Formal,Marca A,1468.03,38,15,30,Ciencias Sociales y Humanidades,HombreMujer,Buena
Falda,Dama,Rojo,Formal,Marca D,1626.95,35,14,27,Ingeniería,Hombre,Buena
Pantalón,Dama,Verde,Deportivo,Marca D,1668.19,42,5,22,Artes,Mujer,Buena
Falda,Caballero,Azul,Deportivo,Marca D,1506.85,43,5,25,Ciencias de la Salud,Hombre,Buena
Camisa,Dama,Azul,Casual,Marca B,461.17,33,5,23,Educación,Mujer,Buena
Pantalón,Caballero,Negro,Deportivo,Marca C,1748.95,41,1,24,Ingeniería,Mujer,Buena
Pantalón,Caballero,Azul,Deportivo,Marca C,1324.46,33,1,20,Artes,Hombre,Buena
Camisa,Caballero,Verde,Formal,Marca C,1764.24,36,14,20,Artes,Hombre,Buena
Vestido,Dama,Rojo,Casual,Marca A,1998.9,34,17,25,Artes,Hombre,Buena
Camisa,Caballero,Rojo,Casual,Marca A,1018.38,41,20,26,Ingeniería,Hombre,Buena
Vestido,Caballero,Blanco,Deportivo,Marca A,1892.03,43,0,23,Deportes,Mujer,Buena
Vestido,Caballero,Blanco,Formal,Marca A,984.05,41,19,30,Educación,Hombre,Buena
Pantalón,Caballero,Blanco,Deportivo,Marca C,1457.13,34,13,27,Artes,Mujer,Buena
Falda,Caballero,Negro,Formal,Marca A,326.11,33,19,24,Ingeniería,Hombre,Buena
Falda,Dama,Blanco,Formal,Marca A,1661.73,34,18,26,Ingeniería,Hombre,Buena
Chaqueta,Dama,Negro,Formal,Marca D,1913.69,32,2,25,Ciencias Sociales y Humanidades,HombreMujer,Buena
Chaqueta,Caballero,Rojo,Casual,Marca C,1414.58,40,14,29,Artes,Mujer,Buena
Vestido,Caballero,Rojo,Casual,Marca C,1802.93,42,0,22,Deportes,HombreMujer,Buena
Camisa,Caballero,Rojo,Formal,Marca C,681.17,44,14,22,Educación,Mujer,Buena
Vestido,Dama,Negro,Formal,Marca D,1759.45,45,17,27,Ciencias Sociales y Humanidades,Hombre,Buena
Chaqueta,Caballero,Blanco,Deportivo,Marca A,1691.26,35,19,25,Ciencias de la Salud,HombreMujer,Buena
Camisa,Dama,Blanco,Casual,Marca C,1848.83,32,2,23,Ingeniería,Mujer,Buena
Falda,Dama,Negro,Deportivo,Marca B,1836.26,45,13,21,Artes,Hombre,Buena
Camisa,Caballero,Rojo,Casual,Marca B,1134.46,44,13,28,Ciencias de la Salud,Hombre,Buena
Camisa,Caballero,Negro,Formal,Marca D,1061.17,32,19,21,Ingeniería,HombreMujer,Buena
Pantalón,Caballero,Blanco,Deportivo,Marca B,1906.95,37,18,21,Ciencias de la Salud,Hombre,Buena
Falda,Caballero,Negro,Formal,Marca C,494.81,44,7,21,Ciencias Sociales y Humanidades,Mujer,Buena
Pantalón,Dama,Azul,Deportivo,Marca B,259.14,34,11,22,Ingeniería,Mujer,Buena
Falda,Dama,Blanco,Casual,Marca D,1529.18,42,18,25,Ciencias Sociales y Humanidades,Hombre,Buena
Pantalón,Caballero,Azul,Formal,Marca B,1994.91,32,2,28,Deportes,Hombre,Buena
Vestido,Caballero,Negro,Deportivo,Marca D,458.38,43,20,25,Artes,Hombre,Buena
Vestido,Caballero,Negro,Deportivo,Marca C,1509.54,35,0,22,Artes,Mujer,Buena
Camisa,Caballero,Azul,Deportivo,Marca C,1202.68,37,16,21,Educación,Hombre,Buena
Pantalón,Caballero,Blanco,Formal,Marca D,770.25,33,20,26,Deportes,Mujer,Buena
Pantalón,Dama,Rojo,Formal,Marca A,433.96,33,18,28,Ciencias de la Salud,Mujer,Buena
Camisa,Dama,Azul,Formal,Marca B,1711.39,38,4,26,Artes,Mujer,Buena
Falda,Caballero,Negro,Deportivo,Marca B,1717.68,42,4,28,Ingeniería,Mujer,Buena
Camisa,Dama,Verde,Formal,Marca B,1095.64,41,19,28,Deportes,Mujer,Buena
Falda,Dama,Azul,Deportivo,Marca C,481.51,34,7,20,Educación,Mujer,Buena
Vestido,Dama,Azul,Casual,Marca A,811.3,33,14,29,Educación,HombreMujer,Buena
Vestido,Dama,Negro,Casual,Marca B,926.32,42,13,28,Artes,Hombre,Buena
Falda,Dama,Negro,Deportivo,Marca B,1646.19,42,3,27,Educación,Hombre,Buena
Chaqueta,Dama,Verde,Formal,Marca A,945.13,38,16,30,Artes,HombreMujer,Buena
Chaqueta,Caballero,Rojo,Deportivo,Marca C,368.02,32,12,20,Ciencias Sociales y Humanidades,Hombre,Buena
Pantalón,Caballero,Verde,Casual,Marca A,1309.35,41,7,24,Deportes,Mujer,Buena
Vestido,Dama,Azul,Deportivo,Marca D,1574.46,35,16,27,Ciencias de la Salud,Mujer,Buena
Chaqueta,Caballero,Verde,Casual,Marca D,1337.75,40,13,26,Ciencias Sociales y Humanidades,Mujer,Buena
Falda,Caballero,Azul,Deportivo,Marca C,1754.2,34,1,30,Ciencias de la Salud,Mujer,Buena
Falda,Caballero,Verde,Formal,Marca C,949.89,39,15,23,Educación,Hombre,Buena
Camisa,Caballero,Negro,Casual,Marca B,508.88,43,3,25,Ingeniería,Hombre,Buena
Vestido,Dama,Negro,Deportivo,Marca C,819.84,39,5,30,Ciencias Sociales y Humanidades,Mujer,Buena
Camisa,Caballero,Verde,Deportivo,Marca D,1620.15,36,6,21,Artes,Hombre,Buena
Chaqueta,Caballero,Verde,Deportivo,Marca D,464.63,42,18,20,Artes,Mujer,Buena
Camisa,Dama,Blanco,Casual,Marca B,674,43,1,24,Deportes,Mujer,Buena
Camisa,Dama,Blanco,Deportivo,Marca A,971.86,40,8,29,Ciencias Sociales y Humanidades,Hombre,Buena
Vestido,Caballero,Azul,Formal,Marca C,583.5,38,3,22,Deportes,Hombre,Buena
Falda,Caballero,Blanco,Casual,Marca D,879.37,38,2,28,Educación,Hombre,Buena
Falda,Dama,Verde,Deportivo,Marca A,1314.57,45,6,21,Ciencias de la Salud,Mujer,Buena
Falda,Dama,Blanco,Formal,Marca D,1040.6,37,10,25,Educación,HombreMujer,Buena
Falda,Dama,Verde,Deportivo,Marca D,1215.38,40,13,22,Artes,HombreMujer,Buena
Falda,Dama,Negro,Formal,Marca B,639.02,38,15,28,Artes,Mujer,Buena
Vestido,Caballero,Rojo,Deportivo,Marca D,1440.41,32,11,25,Artes,Mujer,Regular
Vestido,Dama,Verde,Deportivo,Marca D,832.94,36,12,22,Deportes,Hombre,Regular
Pantalón,Caballero,Verde,Deportivo,Marca D,560.12,42,6,23,Ciencias de la Salud,Mujer,Regular
Chaqueta,Caballero,Rojo,Formal,Marca C,1491.25,40,18,24,Ciencias Sociales y Humanidades,Mujer,Regular
Falda,Caballero,Verde,Formal,Marca C,1641.39,38,0,23,Ciencias de la Salud,Hombre,Regular
Chaqueta,Dama,Azul,Deportivo,Marca A,1972.33,37,4,28,Ciencias Sociales y Humanidades,Mujer,Regular
Vestido,Caballero,Verde,Deportivo,Marca D,188.9,39,19,24,Ingeniería,Mujer,Regular
Vestido,Caballero,Verde,Casual,Marca B,1241.23,45,14,26,Ingeniería,Hombre,Regular
Chaqueta,Caballero,Azul,Formal,Marca A,254.94,42,18,21,Educación,Mujer,Regular
Falda,Dama,Azul,Formal,Marca D,1620.4,38,0,30,Educación,Hombre,Regular
Pantalón,Dama,Azul,Deportivo,Marca C,1819.05,45,7,29,Deportes,HombreMujer,Regular
Falda,Caballero,Rojo,Deportivo,Marca A,259.26,39,17,30,Ciencias Sociales y Humanidades,Hombre,Regular
Falda,Dama,Blanco,Casual,Marca C,1689.18,39,2,28,Ciencias Sociales y Humanidades,HombreMujer,Regular
Falda,Caballero,Blanco,Casual,Marca B,819.59,43,1,27,Deportes,Mujer,Regular
Pantalón,Caballero,Azul,Casual,Marca A,482.16,44,2,21,Artes,Hombre,Regular
Chaqueta,Caballero,Negro,Formal,Marca A,1726.04,40,16,22,Ciencias de la Salud,Mujer,Regular
Camisa,Dama,Verde,Casual,Marca A,1070.09,32,4,30,Artes,Mujer,Regular
Chaqueta,Dama,Verde,Formal,Marca B,514.88,35,11,29,Ingeniería,Mujer,Regular
Camisa,Dama,Negro,Formal,Marca B,992.31,35,13,23,Ciencias de la Salud,Mujer,Regular
Vestido,Dama,Negro,Deportivo,Marca B,1187.32,45,0,23,Artes,Hombre,Regular
Camisa,Dama,Rojo,Deportivo,Marca D,1644.13,41,14,25,Ingeniería,HombreMujer,Regular
Camisa,Caballero,Rojo,Deportivo,Marca D,1729.95,34,8,21,Deportes,HombreMujer,Regular
Falda,Caballero,Azul,Formal,Marca C,1342.83,32,7,28,Deportes,Hombre,Regular
Falda,Caballero,Azul,Deportivo,Marca D,332.39,44,0,29,Ciencias Sociales y Humanidades,Hombre,Regular
Vestido,Dama,Blanco,Deportivo,Marca A,1054.14,45,15,24,Ciencias Sociales y Humanidades,Mujer,Regular
Vestido,Dama,Negro,Casual,Marca A,1256.83,44,17,27,Deportes,Mujer,Regular
Pantalón,Caballero,Verde,Deportivo,Marca A,182.91,45,8,27,Ciencias de la Salud,Hombre,Regular
Chaqueta,Dama,Azul,Casual,Marca B,1941.81,33,6,30,Ingeniería,Hombre,Regular
