fecha,vel_viento,presion_atmosferica,humedad_relativa,frentes_frios,radiacion_solar,luminosidad,contaminacion_atmosferica,cobertura_nubosa,temperatura
2018-01-12,37.0,989.0,34.0,0,790.0,1.0,380.0,48.0,21.0
2018-01-13,36.0,1022.0,54.0,1,610.0,73.0,210.0,50.0,15.0
2018-01-14,31.0,957.0,55.0,1,435.0,64.0,258.0,49.0,14.0
2018-01-15,32.0,1011.0,25.0,1,589.0,93.0,93.0,43.0,12.0
2018-01-16,40.0,980.0,63.0,0,457.0,5.0,332.0,34.0,10.0
2018-01-17,39.0,1014.0,59.0,1,904.0,24.0,168.0,34.0,7.0
2018-01-18,23.0,1027.0,70.0,0,288.0,56.0,29.0,62.0,15.0
2018-01-19,22.0,1025.0,79.0,1,443.0,12.0,397.0,42.0,17.0
2018-01-20,35.0,944.0,56.0,1,193.0,36.0,208.0,58.0,12.0
2018-01-21,30.0,1005.0,26.0,0,781.0,52.0,32.0,65.0,26.0
2018-01-22,35.0,994.0,45.0,0,670.0,3.0,417.0,46.0,20.0
2018-01-23,42.0,985.0,68.0,0,192.0,22.0,340.0,50.0,15.0
2018-01-24,26.0,972.0,43.0,0,315.0,82.0,329.0,44.0,18.0
2018-01-25,34.0,1067.0,71.0,0,122.0,22.0,304.0,40.0,16.0
2018-01-26,39.0,1006.0,99.0,0,353.0,35.0,322.0,59.0,23.0
2018-01-27,33.0,1032.0,53.0,1,232.0,1.0,499.0,48.0,17.0
2018-01-28,34.0,948.0,30.0,1,102.0,22.0,328.0,47.0,14.0
2018-01-29,33.0,1045.0,95.0,0,111.0,50.0,168.0,37.0,21.0
2018-01-30,38.0,1015.0,74.0,1,246.0,66.0,199.0,50.0,18.0
2018-01-31,29.0,1049.0,68.0,0,219.0,35.0,419.0,56.0,24.0
2018-02-01,33.0,980.0,92.0,1,178.0,46.0,468.0,56.0,28.0
2018-02-02,42.0,1016.0,47.0,1,794.0,5.0,20.0,37.0,20.0
2018-02-03,22.0,883.0,41.0,1,558.0,32.0,324.0,39.0,13.0
2018-02-04,22.0,1037.0,33.0,1,736.0,51.0,482.0,36.0,19.0
2018-02-05,40.0,956.0,90.0,1,632.0,84.0,373.0,62.0,16.0
2018-02-06,32.0,1017.0,42.0,1,436.0,9.0,371.0,52.0,14.0
2018-02-07,32.0,1054.0,72.0,0,122.0,6.0,196.0,40.0,23.0
2018-02-08,26.0,1040.0,95.0,1,851.0,1.0,397.0,53.0,22.0
2018-02-09,27.0,972.0,71.0,1,457.0,88.0,184.0,57.0,16.0
2018-02-10,39.0,955.0,51.0,1,418.0,86.0,52.0,58.0,10.0
2018-02-11,35.0,980.0,57.0,0,504.0,90.0,430.0,57.0,21.0
2018-02-12,35.0,971.0,76.0,1,334.0,88.0,88.0,47.0,14.0
2018-02-13,29.0,1005.0,34.0,1,839.0,27.0,466.0,61.0,17.0
2018-02-14,28.0,966.0,66.0,0,118.0,95.0,476.0,45.0,28.0
2018-02-15,26.0,967.0,37.0,1,139.0,22.0,424.0,51.0,15.0
2018-02-16,34.0,946.0,52.0,1,354.0,95.0,46.0,55.0,13.0
2018-02-17,35.0,1010.0,83.0,1,977.0,28.0,241.0,68.0,13.0
2018-02-18,33.0,981.0,27.0,0,683.0,74.0,43.0,39.0,20.0
